detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-INT8-P10,MobileNetV3,18,6,6,0
YOLO-INT8-P10,MobileNetV3,19,4,4,2
YOLO-INT8-P15,MobileNetV3,0,12,12,8
YOLO-INT8-P15,MobileNetV3,1,9,9,6
YOLO-INT8-P15,MobileNetV3,2,11,11,3
YOLO-INT8-P15,MobileNetV3,3,4,4,2
YOLO-INT8-P15,MobileNetV3,4,9,8,3
YOLO-INT8-P15,MobileNetV3,5,4,4,3
YOLO-INT8-P15,MobileNetV3,6,4,4,1
YOLO-INT8-P15,MobileNetV3,7,4,4,3
YOLO-INT8-P15,MobileNetV3,8,16,13,5
YOLO-INT8-P15,MobileNetV3,9,8,6,2
YOLO-INT8-P15,MobileNetV3,10,4,4,1
YOLO-INT8-P15,MobileNetV3,11,5,5,3
YOLO-INT8-P15,MobileNetV3,12,5,4,3
YOLO-INT8-P15,MobileNetV3,13,9,8,5
YOLO-INT8-P15,MobileNetV3,14,5,3,3
YOLO-INT8-P15,MobileNetV3,15,5,5,5
YOLO-INT8-P15,MobileNetV3,16,5,5,0
YOLO-INT8-P15,MobileNetV3,17,3,3,2
YOLO-INT8-P15,MobileNetV3,18,6,6,0
YOLO-INT8-P15,MobileNetV3,19,4,4,3
RT-DETR-FP32,MobileNetV3,0,12,12,8
RT-DETR-FP32,MobileNetV3,1,9,9,6
RT-DETR-FP32,MobileNetV3,2,11,10,3
RT-DETR-FP32,MobileNetV3,3,4,4,3
RT-DETR-FP32,MobileNetV3,4,9,8,4
RT-DETR-FP32,MobileNetV3,5,4,4,2
RT-DETR-FP32,MobileNetV3,6,4,4,1
RT-DETR-FP32,MobileNetV3,7,4,4,3
RT-DETR-FP32,MobileNetV3,8,16,14,5
RT-DETR-FP32,MobileNetV3,9,8,8,4
RT-DETR-FP32,MobileNetV3,10,4,4,2
RT-DETR-FP32,MobileNetV3,11,5,5,1
RT-DETR-FP32,MobileNetV3,12,5,4,0
RT-DETR-FP32,MobileNetV3,13,9,9,4
RT-DETR-FP32,MobileNetV3,14,5,3,1
RT-DETR-FP32,MobileNetV3,15,5,5,4
RT-DETR-FP32,MobileNetV3,16,5,5,3
RT-DETR-FP32,MobileNetV3,17,3,3,2
RT-DETR-FP32,MobileNetV3,18,6,6,0
RT-DETR-FP32,MobileNetV3,19,4,4,3
YOLO-FP32-Base,POSTERv2,0,12,12,9
YOLO-FP32-Base,POSTERv2,1,9,9,2
YOLO-FP32-Base,POSTERv2,2,11,10,9
YOLO-FP32-Base,POSTERv2,3,4,4,3
YOLO-FP32-Base,POSTERv2,4,9,8,1
YOLO-FP32-Base,POSTERv2,5,4,4,4
YOLO-FP32-Base,POSTERv2,6,4,4,1
YOLO-FP32-Base,POSTERv2,7,4,4,1
YOLO-FP32-Base,POSTERv2,8,16,13,3
YOLO-FP32-Base,POSTERv2,9,8,8,3
YOLO-FP32-Base,POSTERv2,10,4,4,2
YOLO-FP32-Base,POSTERv2,11,5,5,3
YOLO-FP32-Base,POSTERv2,12,5,5,2
YOLO-FP32-Base,POSTERv2,13,9,9,3
YOLO-FP32-Base,POSTERv2,14,5,4,2
YOLO-FP32-Base,POSTERv2,15,5,5,1
YOLO-FP32-Base,POSTERv2,16,5,5,3
YOLO-FP32-Base,POSTERv2,17,3,3,0
YOLO-FP32-Base,POSTERv2,18,6,6,2
YOLO-FP32-Base,POSTERv2,19,4,4,1
YOLO-FP32-P10,POSTERv2,0,12,12,10
YOLO-FP32-P10,POSTERv2,1,9,9,2
YOLO-FP32-P10,POSTERv2,2,11,9,8
YOLO-FP32-P10,POSTERv2,3,4,4,3
YOLO-FP32-P10,POSTERv2,4,9,7,1
YOLO-FP32-P10,POSTERv2,5,4,4,3
YOLO-FP32-P10,POSTERv2,6,4,4,1
YOLO-FP32-P10,POSTERv2,7,4,4,2
YOLO-FP32-P10,POSTERv2,8,16,14,3
YOLO-FP32-P10,POSTERv2,9,8,8,2
YOLO-FP32-P10,POSTERv2,10,4,4,2
YOLO-FP32-P10,POSTERv2,11,5,5,4
YOLO-FP32-P10,POSTERv2,12,5,4,2
YOLO-FP32-P10,POSTERv2,13,9,9,4
YOLO-FP32-P10,POSTERv2,14,5,4,2
YOLO-FP32-P10,POSTERv2,15,5,5,2
YOLO-FP32-P10,POSTERv2,16,5,5,3
YOLO-FP32-P10,POSTERv2,17,3,3,0
YOLO-FP32-P10,POSTERv2,18,6,6,3
YOLO-FP32-P10,POSTERv2,19,4,4,1
YOLO-FP32-P15,POSTERv2,0,12,12,10
YOLO-FP32-P15,POSTERv2,1,9,9,2
YOLO-FP32-P15,POSTERv2,2,11,11,10
YOLO-FP32-P15,POSTERv2,3,4,4,3
YOLO-FP32-P15,POSTERv2,4,9,7,2
YOLO-FP32-P15,POSTERv2,5,4,4,3
YOLO-FP32-P15,POSTERv2,6,4,4,1
YOLO-FP32-P15,POSTERv2,7,4,4,2
YOLO-FP32-P15,POSTERv2,8,16,15,4
YOLO-FP32-P15,POSTERv2,9,8,8,4
YOLO-FP32-P15,POSTERv2,10,4,4,2
YOLO-FP32-P15,POSTERv2,11,5,5,4
YOLO-FP32-P15,POSTERv2,12,5,4,2
YOLO-FP32-P15,POSTERv2,13,9,9,4
YOLO-FP32-P15,POSTERv2,14,5,3,2
YOLO-FP32-P15,POSTERv2,15,5,5,2
YOLO-FP32-P15,POSTERv2,16,5,5,3
YOLO-FP32-P15,POSTERv2,17,3,3,0
YOLO-FP32-P15,POSTERv2,18,6,6,2
YOLO-FP32-P15,POSTERv2,19,4,4,1
YOLO-FP16-P10,POSTERv2,0,12,12,10
YOLO-FP16-P10,POSTERv2,1,9,9,2
YOLO-FP16-P10,POSTERv2,2,11,10,8
YOLO-FP16-P10,POSTERv2,3,4,4,3
YOLO-FP16-P10,POSTERv2,4,9,7,1
YOLO-FP16-P10,POSTERv2,5,4,4,3
YOLO-FP16-P10,POSTERv2,6,4,4,1
YOLO-FP16-P10,POSTERv2,7,4,4,2
YOLO-FP16-P10,POSTERv2,8,16,14,3
YOLO-FP16-P10,POSTERv2,9,8,8,3
YOLO-FP16-P10,POSTERv2,10,4,4,2
YOLO-FP16-P10,POSTERv2,11,5,5,4
YOLO-FP16-P10,POSTERv2,12,5,4,2
YOLO-FP16-P10,POSTERv2,13,9,9,4
YOLO-FP16-P10,POSTERv2,14,5,4,2
YOLO-FP16-P10,POSTERv2,15,5,5,2
YOLO-FP16-P10,POSTERv2,16,5,5,3
YOLO-FP16-P10,POSTERv2,17,3,3,0
YOLO-FP16-P10,POSTERv2,18,6,6,3
YOLO-FP16-P10,POSTERv2,19,4,4,1
YOLO-FP16-P15,POSTERv2,0,12,12,10
YOLO-FP16-P15,POSTERv2,1,9,9,2
YOLO-FP16-P15,POSTERv2,2,11,11,10
YOLO-FP16-P15,POSTERv2,3,4,4,3
YOLO-FP16-P15,POSTERv2,4,9,7,2
